DonorID	ColID	ID	Selector	group	Reference
LUP1633	C1	LUP1633.P1.C1.V2	V2	LUAD	NA
LUP1634	C1	LUP1634.C1.C1.V2	V2	LUAD	NA
LUP1635	C1	LUP1635.C1.C1.V2	V2	LUAD	NA
LUP1637	C1	LUP1637.C1.C1.V2	V2	LUAD	NA
LUP1638	C1	LUP1638.C1.C1.V2	V2	LUAD	NA
LUP1640	C1	LUP1640.C1.C1.V2	V2	LUAD	NA
LUP1641	C1	LUP1641.C1.C1.V2	V2	LUAD	NA
LUP1642	C1	LUP1642.C1.C1.V2	V2	LUAD	NA
LUP1644	C1	LUP1644.C1.C1.V2	V2	LUAD	NA
LUP1646	C1	LUP1646.C1.C1.V2	V2	LUAD	NA
LUP1647	C1	LUP1647.C1.C1.V2	V2	LUAD	NA
LUP1648	C1	LUP1648.C1.C1.V2	V2	LUAD	NA
LUP1649	C1	LUP1649.C1.C1.V2	V2	LUAD	NA
LUP1650	C1	LUP1650.C1.C1.V2	V2	LUAD	NA
LUP1651	C1	LUP1651.C1.C1.V2	V2	LUAD	NA
LUP1652	C1	LUP1652.C1.C1.V2	V2	LUAD	NA
LUP1653	C1	LUP1653.C1.C1.V2	V2	LUAD	NA
LUP1654	C1	LUP1654.C1.C1.V2	V2	LUAD	NA
LUP1691	C1	LUP1691.C1.C1.V2	V2	LUAD	NA
LUP1692	C1	LUP1692.C1.C1.V2	V2	LUAD	NA
LUP1693	C1	LUP1693.C1.C1.V2	V2	LUAD	NA
LUP1694	C1	LUP1694.C1.C1.V2	V2	LUAD	NA
LUP1695	C1	LUP1695.C1.C1.V2	V2	LUAD	NA
LUP1696	C1	LUP1696.C1.C1.V2	V2	LUAD	NA
LUP1697	C1	LUP1697.C1.C1.V2	V2	LUAD	NA
LUP1698	C1	LUP1698.C1.C1.V2	V2	LUAD	NA
LUP1699	C1	LUP1699.C1.C1.V2	V2	LUAD	NA
LUP1700	C1	LUP1700.C1.C1.V2	V2	LUAD	NA
LUP1701	C1	LUP1701.C1.C1.V2	V2	LUAD	NA
LUP1702	C1	LUP1702.C1.C1.V2	V2	LUAD	NA
LUP1703	C1	LUP1703.C1.C1.V2	V2	LUAD	NA
LUP1732	C1	LUP1732.P1.C1.V2	V2	LUAD	NA
LUP1733	C1	LUP1733.P1.C1.V2	V2	LUAD	NA
LUP1738	C1	LUP1738.P1.C1.V2	V2	LUAD	NA
LUP1739	C1	LUP1739.P1.C1.V2	V2	LUAD	NA
LUP1740	C1	LUP1740.P1.C1.V2	V2	LUAD	NA
LUP1741	C1	LUP1741.P1.C1.V2	V2	LUAD	NA
LUP1743	C1	LUP1743.P1.C1.V2	V2	LUAD	NA
LUP242	C1	LUP242.C1.C1.V1	V1	LUAD	NA
LUP341	C1	LUP341.C1.C2.V1	V1	LUAD	NA
LUP350	C1	LUP350.C1.C1.V1	V1	LUAD	NA
LUP438	C1	LUP438.C1.C1.V1	V1	LUAD	NA
LUP443	C1	LUP443.C1.C2.V1	V1	LUAD	NA
LUP475	C1	LUP475.C1.C1.V2	V2	LUAD	NA
LUP494	C1	LUP494.C1.C2.V2	V2	LUAD	NA
LUP65	C1	LUP65.C5.C1.V2	V2	LUAD	NA
LUP654	C1	LUP654.C1.C2.V1	V1	LUAD	NA
LUP782	C1	LUP782.C1.C2.V1	V1	LUAD	NA
LUP784	C1	LUP784.pC1.V2	V2	LUAD	NA
LUP820	C2	LUP820.C1.C2.V1	V1	LUAD	NA
LUP822	C1	LUP822.C1.C2.V1	V1	LUAD	NA
LUP831	C1	LUP831.C1.C1.V2	V2	LUAD	NA
LUP832	C2	LUP832.C1.C2.V1	V1	LUAD	NA
LUP853	C1	LUP853.pC1.V2	V2	LUAD	NA
LUP856	C1	LUP856.pC1.V2	V2	LUAD	NA
LUP859	C1	LUP859.pC1.V2	V2	LUAD	NA
LUP885	C1	LUP885.C1.C1.V2	V2	LUAD	NA
LUP886	C1	LUP886.C1.C2.V1	V1	LUAD	NA
LUP887	C1	LUP887.pC1.V2	V2	LUAD	NA
LUP889	C1	LUP889.pC1.V2	V2	LUAD	NA
LUP967	C1	LUP967.C1.C2.V1	V1	LUAD	NA
LUP987	C1	LUP987.C1.C2.V1	V1	LUAD	NA
LUP996	C1	LUP996.C1.C1.V2	V2	LUAD	NA
