gene_id_simplified	V1	V1V2shared	baseMean	log2FoldChange	lfcSE	pvalue	padj	lfc	contrast
ENSG00000111241	yes	yes	0.518547823047205	0.154614166839331	0.202014294815422	0.194772991485194	NA	0.154614166839331	ControlvsLUAD
ENSG00000111262	yes	yes	2.67232880261911	0.429150520217201	0.21127363197765	0.00218829700276096	0.0302523644104769	0.429150520217201	ControlvsLUAD
ENSG00000111291	yes	yes	10.7367253715702	-0.0927521522010224	0.167933541949899	0.407800221024009	0.712105088636173	-0.0927521522010224	ControlvsLUAD
ENSG00000111305	yes	yes	1.75925378952376	0.165865676448471	0.236437954769402	0.173530586448099	0.479798723022343	0.165865676448471	ControlvsLUAD
ENSG00000111361	yes	yes	342.866089730126	-0.0863857278009167	0.103931605235299	0.330921690585717	0.649055375098266	-0.0863857278009167	ControlvsLUAD
ENSG00000111404	yes	yes	2.11071535097186	0.168269336695705	0.183801531898195	0.153959563639301	0.446759826428775	0.168269336695705	ControlvsLUAD
ENSG00000111405	yes	yes	4.34449366331106	0.112793360157026	0.167399293885418	0.316898202294046	0.639367182958658	0.112793360157026	ControlvsLUAD
ENSG00000111432	yes	yes	4.19299663690983	0.155058821145659	0.172089183816643	0.178607573713881	0.48606324786205	0.155058821145659	ControlvsLUAD
ENSG00000111536	yes	yes	1.77624687216465	-0.156830950442987	0.232029460156778	0.19365430605968	0.505278047111581	-0.156830950442987	ControlvsLUAD
ENSG00000111664	yes	yes	4.53514226349446	0.0726934554068184	0.154588193899638	0.505658708369213	0.783065916011621	0.0726934554068184	ControlvsLUAD
ENSG00000111679	yes	yes	2961.64880585149	0.0840247734702663	0.109486577756996	0.361400814374678	0.675727781517032	0.0840247734702663	ControlvsLUAD
ENSG00000111700	yes	yes	7.97809932135583	-0.135407225873011	0.17868672845964	0.240759329238641	0.565759239680551	-0.135407225873011	ControlvsLUAD
ENSG00000111701	yes	yes	0.751563846275625	-0.0491877756525131	0.209066121245221	0.655453817021541	0.867011227953522	-0.0491877756525131	ControlvsLUAD
ENSG00000111704	yes	yes	2.89116217592334	0.12707200673278	0.208451099603795	0.277660696502454	0.601498253248257	0.12707200673278	ControlvsLUAD
ENSG00000111729	yes	yes	357.777389132748	0.00369708548096638	0.140674417779332	0.971966420895949	0.988914204955955	0.00369708548096638	ControlvsLUAD
ENSG00000111732	yes	yes	9.07557765944033	0.175363219685935	0.190899456982141	0.142445099036092	0.427836831055898	0.175363219685935	ControlvsLUAD
ENSG00000111783	yes	yes	1.74304132526981	0.120748184729972	0.199228671742513	0.298900058487597	0.624663061660555	0.120748184729972	ControlvsLUAD
ENSG00000111796	yes	yes	1464.34776864394	-0.105911685879477	0.166705524658991	0.345757941703194	0.663794638077378	-0.105911685879477	ControlvsLUAD
ENSG00000111799	yes	yes	27.5051898433117	0.0840550257832332	0.147967191161884	0.435755175425033	0.734376595343089	0.0840550257832332	ControlvsLUAD
ENSG00000111816	yes	yes	12.2026684131025	-0.22514341105378	0.182003054184032	0.0622032765824382	0.268325970171328	-0.22514341105378	ControlvsLUAD
ENSG00000111885	yes	yes	1561.73523519264	-0.716507779917762	0.261464710604528	7.80418336742881e-05	0.00241822040481777	-0.716507779917762	ControlvsLUAD
ENSG00000111886	yes	yes	29.3844930783901	-0.188644953347266	0.17330199916698	0.106936048624953	0.364816755103958	-0.188644953347266	ControlvsLUAD
ENSG00000111913	yes	yes	3416.50763879806	0.0573968583372398	0.109734399326009	0.533469664078351	0.800569272929248	0.0573968583372398	ControlvsLUAD
ENSG00000111981	yes	yes	2.13101267997669	-0.0738657640609472	0.177410571690764	0.510728259708227	0.787265590952232	-0.0738657640609472	ControlvsLUAD
ENSG00000112038	yes	yes	3.03334048683296	0.0117396698339187	0.165614530903352	0.91500922583824	0.974896004669484	0.0117396698339187	ControlvsLUAD
ENSG00000112041	yes	yes	2.35665349729203	0.0809740726768303	0.205251306005923	0.473231636946094	0.760182246978477	0.0809740726768303	ControlvsLUAD
ENSG00000112115	yes	yes	0.556700402048252	-0.0414514691060083	0.205677458298684	0.706645997749453	NA	-0.0414514691060083	ControlvsLUAD
ENSG00000112116	yes	yes	0.643130201895712	-0.0014148889841717	0.190565899692392	0.989771947595557	NA	-0.0014148889841717	ControlvsLUAD
ENSG00000112164	yes	yes	1.81711208193541	0.052519218645593	0.192052143360061	0.63792418783124	0.858821005963985	0.052519218645593	ControlvsLUAD
ENSG00000112175	yes	yes	3.30851597006483	-0.073486557419281	0.158926336842644	0.504361060371231	0.781993278783168	-0.073486557419281	ControlvsLUAD
ENSG00000112183	yes	yes	2.79442645632573	-0.0998095405156065	0.182626498779	0.380945976009811	0.689879189928287	-0.0998095405156065	ControlvsLUAD
ENSG00000112214	yes	yes	3.67093475284081	0.0102872626885772	0.183693304786642	0.925939074949733	0.976979427630266	0.0102872626885772	ControlvsLUAD
ENSG00000112218	yes	yes	11.1314717787724	0.18220435378583	0.138053658719656	0.0858732899144078	0.317032614285484	0.18220435378583	ControlvsLUAD
ENSG00000112238	yes	yes	3.83877022742463	0.30866703245027	0.221733809900683	0.0221109772560267	0.142815890907268	0.30866703245027	ControlvsLUAD
ENSG00000112246	yes	yes	4.56804509766138	0.309469869128365	0.250353157148228	0.0273216999588804	0.162376187718584	0.309469869128365	ControlvsLUAD
ENSG00000112273	yes	yes	1.29564908424022	-0.1227875196651	0.206258893491724	0.292346032626208	0.616382320314197	-0.1227875196651	ControlvsLUAD
ENSG00000112280	yes	yes	1.76064890018399	-0.030324627705868	0.201444341832414	0.782902454895023	0.920591659210505	-0.030324627705868	ControlvsLUAD
ENSG00000112299	yes	yes	1181.31356860387	-0.135788940086101	0.174408237186772	0.236909861311019	0.56152213424338	-0.135788940086101	ControlvsLUAD
ENSG00000112319	yes	yes	4.3336334989146	0.136389371859395	0.194054849810864	0.244366372245093	0.569469974324275	0.136389371859395	ControlvsLUAD
ENSG00000112333	yes	yes	1.51937378720198	-0.475446493374289	0.433213516856959	0.0090500941031503	0.0774515672484844	-0.475446493374289	ControlvsLUAD
ENSG00000112462	yes	yes	1.39385113304168	-0.253443185712901	0.249317839369605	0.0582964525128324	0.25984718367079	-0.253443185712901	ControlvsLUAD
ENSG00000112494	yes	yes	1.03244155110309	-0.328770093047765	0.277567475393464	0.0245709664774219	0.152272210183526	-0.328770093047765	ControlvsLUAD
ENSG00000112499	yes	yes	1.51071258861719	-0.0725277860826207	0.199858595250811	0.519087659849299	0.791086721973969	-0.0725277860826207	ControlvsLUAD
ENSG00000112539	yes	yes	1.13022500597593	-0.210802465631634	0.239279489082321	0.0991035476155833	0.347709515185187	-0.210802465631634	ControlvsLUAD
ENSG00000112562	yes	yes	5.27298330993868	0.00562833541220698	0.165143812101238	0.959167227169327	0.985713255185678	0.00562833541220698	ControlvsLUAD
ENSG00000112599	yes	yes	9.35355457370345	0.107899957401754	0.1810250677498	0.344848579454077	0.663173227890073	0.107899957401754	ControlvsLUAD
ENSG00000112619	yes	yes	5.30682991510957	0.0875786673552996	0.15952986001582	0.428111974980395	0.729706791952548	0.0875786673552996	ControlvsLUAD
ENSG00000112706	yes	yes	1.6777572779485	0.00231926470540954	0.176605717084948	0.983271955600029	0.993609799932883	0.00231926470540954	ControlvsLUAD
ENSG00000112799	yes	yes	388.318781238872	0.225144691293595	0.165814733914073	0.0532056122063917	0.245648557098375	0.225144691293595	ControlvsLUAD
ENSG00000112818	yes	yes	8.02993263621237	0.356997529317471	0.202792853569461	0.00735651552412826	0.0675926876276243	0.356997529317471	ControlvsLUAD
ENSG00000112837	yes	yes	5.82335793495098	-0.521192462506803	0.325167799313573	0.00326028230698387	0.0393775494765552	-0.521192462506803	ControlvsLUAD
ENSG00000112852	yes	yes	5.77469745693202	0.132463016250952	0.155924778367242	0.232394693631637	0.556088494348006	0.132463016250952	ControlvsLUAD
ENSG00000112981	yes	yes	2.81813919493991	-0.0517422782148445	0.160295401891954	0.637618761829959	0.858791990042878	-0.0517422782148445	ControlvsLUAD
ENSG00000113073	yes	yes	3.45889270953067	0.0932720311378176	0.206192728064533	0.412886872011541	0.715120739382188	0.0932720311378176	ControlvsLUAD
ENSG00000113100	yes	yes	11.520791595813	0.365785855856672	0.213176918370593	0.00746414829318751	0.0684416699618193	0.365785855856672	ControlvsLUAD
ENSG00000113196	yes	yes	1.30470072304978	-0.0678831440143631	0.205426689301117	0.543947083767358	0.80791875946008	-0.0678831440143631	ControlvsLUAD
ENSG00000113205	yes	yes	5.5548186462022	0.0668190748725917	0.13074206264483	0.512763736996893	0.78764016079557	0.0668190748725917	ControlvsLUAD
ENSG00000113209	yes	yes	5.54535077157637	0.187233329415203	0.165743982377572	0.103894154874248	0.357424531278711	0.187233329415203	ControlvsLUAD
ENSG00000113211	yes	yes	4.28730176619093	0.193000092254872	0.163218844658936	0.0923208371084211	0.331497826556771	0.193000092254872	ControlvsLUAD
ENSG00000113212	yes	yes	6.02343848659805	0.107289036014652	0.134928390727241	0.302209508668223	0.626500997239804	0.107289036014652	ControlvsLUAD
ENSG00000113248	yes	yes	9.60153808033664	-0.0496242390313419	0.141814335344174	0.638837703439459	0.858821005963985	-0.0496242390313419	ControlvsLUAD
ENSG00000113262	yes	yes	4.23053180023653	0.0695301604121279	0.188986625940784	0.53655491846232	0.802488695833192	0.0695301604121279	ControlvsLUAD
ENSG00000113263	yes	yes	383.395750045313	0.813611212821067	0.201495348939541	7.71207453406091e-07	5.25005316386904e-05	0.813611212821067	ControlvsLUAD
ENSG00000113302	yes	yes	0.910574803686666	0.115217723007778	0.202893405439241	0.320037419952874	0.642218904800475	0.115217723007778	ControlvsLUAD
ENSG00000113327	yes	yes	1.29605329295556	-0.106421291296172	0.19835792350715	0.355003901446541	0.672415241659273	-0.106421291296172	ControlvsLUAD
ENSG00000113396	yes	yes	4.8063728485894	-0.0767957060468824	0.164529678926366	0.489258507716203	0.771853397180092	-0.0767957060468824	ControlvsLUAD
ENSG00000113430	yes	yes	2.60372327078468	-0.124734112952251	0.20937472677133	0.285709248792782	0.609540196973395	-0.124734112952251	ControlvsLUAD
ENSG00000113492	yes	yes	2.05069119713412	-0.0366282265934255	0.182844301131977	0.74177190199984	0.905703230061623	-0.0366282265934255	ControlvsLUAD
ENSG00000113494	yes	yes	21.3193868346643	0.012755307086195	0.188045412206533	0.908158101456182	0.971812795221627	0.012755307086195	ControlvsLUAD
ENSG00000113520	yes	yes	2.321657103305	-0.0475937837381525	0.187521295657641	0.669463405105946	0.871746245147821	-0.0475937837381525	ControlvsLUAD
ENSG00000113525	yes	yes	1.62467646382481	0.0938458243543908	0.218496541997771	0.407693335123669	0.712105088636173	0.0938458243543908	ControlvsLUAD
ENSG00000113578	yes	yes	13.0405054414829	-0.292515438829461	0.211511133368147	0.0260839779526049	0.156887969131263	-0.292515438829461	ControlvsLUAD
ENSG00000113600	yes	yes	16.7662371358175	-0.671700905045599	0.304930323349354	0.000404803495232197	0.00887112976050401	-0.671700905045599	ControlvsLUAD
ENSG00000113721	yes	yes	113.362394418325	0.0244373562194407	0.140500791860763	0.816308988778819	0.939006029234174	0.0244373562194407	ControlvsLUAD
ENSG00000113722	yes	yes	1.01367568447488	0.112071498716605	0.186685402037663	0.329504229711844	0.64888707106327	0.112071498716605	ControlvsLUAD
ENSG00000113739	yes	yes	8.99067116547844	-0.452084291338093	0.293384728988039	0.00557911248304162	0.0563780938038461	-0.452084291338093	ControlvsLUAD
ENSG00000113763	yes	yes	15.5398610534419	-0.0820506291090861	0.222973615172467	0.462441858941255	0.75144711472805	-0.0820506291090861	ControlvsLUAD
ENSG00000113805	yes	yes	4.05693279541491	0.0150961977019385	0.174459030944281	0.891450842908564	0.964141361369042	0.0150961977019385	ControlvsLUAD
ENSG00000113905	yes	yes	98.3870589938883	-1.03795594540102	0.369578756913984	2.76010437415417e-05	0.00104211335740123	-1.03795594540102	ControlvsLUAD
ENSG00000113946	yes	yes	40.472563185941	0.862502086473356	0.276347319180893	1.78951426528327e-05	0.000744471073510902	0.862502086473356	ControlvsLUAD
ENSG00000114013	yes	yes	218.397634903058	0.213175066649908	0.178618199493706	0.0740970764763909	0.292883682572685	0.213175066649908	ControlvsLUAD
ENSG00000114113	yes	yes	2.37275810278769	0.0662179673310022	0.214049488403544	0.550827101296275	0.813572537789873	0.0662179673310022	ControlvsLUAD
ENSG00000114124	yes	yes	4.19088653129023	0.130512802701623	0.176173164736254	0.255681327545663	0.582839271772025	0.130512802701623	ControlvsLUAD
ENSG00000114127	yes	yes	16206.2385947883	0.1656016321562	0.124802408206824	0.0984558081782424	0.347327752639762	0.1656016321562	ControlvsLUAD
ENSG00000114200	yes	yes	9.10814174618176	-0.0546400335797886	0.16087713169241	0.619355028396523	0.847886088539177	-0.0546400335797886	ControlvsLUAD
ENSG00000114204	yes	yes	14.2071857836308	-0.0177900117504248	0.195488603701109	0.87176739640036	0.957790722727064	-0.0177900117504248	ControlvsLUAD
ENSG00000114248	yes	yes	2.77636277616369	-0.5390121426108	0.367032379648434	0.0037853744879208	0.0431667197315435	-0.5390121426108	ControlvsLUAD
