gene_id_simplified	V1	V1V2shared
ENSG00000166159	yes	yes
ENSG00000167619	yes	yes
ENSG00000168314	yes	yes
ENSG00000168959	yes	yes
ENSG00000169006	yes	yes
ENSG00000169085	yes	yes
ENSG00000171246	yes	yes
ENSG00000171532	yes	yes
ENSG00000175874	yes	yes
ENSG00000176381	yes	yes
ENSG00000181215	yes	yes
ENSG00000186297	yes	yes
ENSG00000187730	yes	yes
ENSG00000188674	yes	yes
ENSG00000197430	yes	yes
ENSG00000197971	yes	NA
ENSG00000204655	yes	yes
ENSG00000221946	yes	yes
ENSG00000113739	yes	yes
ENSG00000124557	yes	yes
ENSG00000126545	yes	yes
ENSG00000135222	yes	yes
ENSG00000148513	yes	yes
ENSG00000167531	yes	yes
ENSG00000171199	yes	yes
ENSG00000171209	yes	yes
ENSG00000173335	yes	yes
ENSG00000180914	yes	yes
ENSG00000047936	yes	yes
ENSG00000101443	yes	yes
ENSG00000106541	yes	yes
ENSG00000117983	yes	yes
ENSG00000141736	yes	yes
ENSG00000145451	yes	yes
ENSG00000146648	yes	yes
ENSG00000157765	yes	yes
ENSG00000163285	yes	yes
ENSG00000164362	yes	yes
ENSG00000177627	yes	yes
ENSG00000185303	yes	yes
ENSG00000189377	yes	yes
ENSG00000198183	yes	yes
ENSG00000203952	yes	yes
ENSG00000214415	yes	yes
ENSG00000229415	yes	yes
ENSG00000267795	yes	yes
ENSG00000007306	yes	yes
ENSG00000007952	yes	yes
ENSG00000071203	yes	yes
ENSG00000091138	yes	yes
ENSG00000095110	yes	yes
ENSG00000119042	yes	yes
ENSG00000133742	yes	NA
ENSG00000137634	yes	yes
ENSG00000142959	yes	yes
ENSG00000154252	yes	yes
ENSG00000155850	yes	yes
ENSG00000167080	yes	yes
ENSG00000168748	yes	yes
ENSG00000204361	yes	yes
ENSG00000205277	yes	yes
ENSG00000000005	yes	yes
ENSG00000001626	yes	yes
ENSG00000002726	yes	yes
ENSG00000002746	yes	yes
ENSG00000003987	yes	yes
ENSG00000003989	yes	yes
ENSG00000004848	yes	yes
ENSG00000004948	yes	yes
ENSG00000005001	yes	yes
ENSG00000005073	yes	yes
ENSG00000005421	yes	yes
ENSG00000005981	yes	yes
ENSG00000006016	yes	NA
ENSG00000006042	yes	yes
ENSG00000006047	yes	yes
ENSG00000006059	yes	yes
ENSG00000006071	yes	yes
ENSG00000006128	yes	yes
ENSG00000006283	yes	yes
ENSG00000006377	yes	yes
ENSG00000006606	yes	yes
ENSG00000006611	yes	yes
ENSG00000006659	yes	yes
ENSG00000006788	yes	yes
ENSG00000007001	yes	yes
ENSG00000007174	yes	yes
ENSG00000007216	yes	yes
ENSG00000007372	yes	yes
ENSG00000007866	yes	yes
ENSG00000007933	yes	yes
ENSG00000008118	yes	yes
ENSG00000008196	yes	yes
ENSG00000008197	yes	yes
ENSG00000008323	yes	yes
ENSG00000009709	yes	yes
ENSG00000009765	yes	yes
ENSG00000009950	yes	yes
ENSG00000010282	yes	yes
ENSG00000010310	yes	yes
ENSG00000010379	yes	yes
ENSG00000010438	yes	yes
ENSG00000010932	yes	yes
ENSG00000011083	yes	yes
ENSG00000011332	yes	yes
ENSG00000012171	yes	yes
